inventory_id,store_id,region_code,product_id,category,stock_quantity,reorder_point,days_cover,last_restock_date,is_low_stock,is_ghost_stock,monthly_cost_of_carry_usd
INV-0009364,IR-PK-005,PK,GRO-0004,Groceries & Fresh Food,199,29,7,2024-03-12,False,False,27.06
INV-0003059,IR-FR-008,FR,FAP-0019,Fashion & Apparel,58,41,27,2024-07-03,False,False,4.64
INV-0008171,IR-EG-017,EG,GRO-0011,Groceries & Fresh Food,37,47,25,2024-05-28,True,False,0.89
INV-0012558,IR-BR-016,BR,HOM-0018,Home & Living,146,37,14,2024-12-01,False,False,55.48
INV-0002088,IR-UAE-018,UAE,FAP-0008,Fashion & Apparel,139,32,24,2024-11-12,False,False,19.46
INV-0004756,IR-FR-022,FR,HOM-0016,Home & Living,96,49,11,2024-05-23,False,False,53.76
INV-0003989,IR-FR-016,FR,ELE-0009,Electronics & Appliances,102,49,25,2024-01-17,False,False,77.52
INV-0002445,IR-FR-003,FR,FAP-0005,Fashion & Apparel,160,45,10,2024-01-23,False,False,12.8
INV-0001890,IR-UAE-016,UAE,HNB-0010,Health & Beauty,119,25,18,2024-10-20,False,False,8.33
INV-0010134,IR-PK-011,PK,FAP-0014,Fashion & Apparel,57,35,16,2024-11-19,False,False,10.26
INV-0012861,IR-BR-019,BR,ELE-0001,Electronics & Appliances,146,24,11,2024-07-27,False,False,1109.6
INV-0009598,IR-PK-006,PK,SPL-0018,Sports & Leisure,18,10,81,2024-06-06,False,True,3.24
INV-0010267,IR-PK-012,PK,HOM-0007,Home & Living,73,34,24,2024-08-21,False,False,13.14
INV-0000903,IR-UAE-008,UAE,HOM-0003,Home & Living,95,38,18,2024-03-19,False,False,34.2
INV-0004342,IR-FR-019,FR,ELE-0002,Electronics & Appliances,60,23,26,2024-11-18,False,False,624.0
INV-0005157,IR-FR-025,FR,SPL-0017,Sports & Leisure,92,44,12,2024-08-23,False,False,12.88
INV-0010539,IR-PK-014,PK,HNB-0019,Health & Beauty,196,41,19,2024-09-24,False,False,16.46
INV-0003234,IR-FR-009,FR,SPL-0014,Sports & Leisure,182,28,21,2024-02-08,False,False,236.6
INV-0003456,IR-FR-011,FR,HNB-0016,Health & Beauty,78,27,7,2024-09-27,False,False,8.58
INV-0007014,IR-EG-007,EG,FAP-0014,Fashion & Apparel,130,24,16,2024-04-03,False,False,23.4
INV-0011661,IR-BR-009,BR,ELE-0001,Electronics & Appliances,93,37,30,2024-11-24,False,False,706.8
INV-0000411,IR-UAE-004,UAE,FAP-0011,Fashion & Apparel,150,22,15,2024-01-10,False,False,84.0
INV-0001740,IR-UAE-015,UAE,FAP-0020,Fashion & Apparel,105,41,14,2024-12-18,False,False,18.9
INV-0009009,IR-PK-002,PK,GRO-0009,Groceries & Fresh Food,127,26,25,2024-06-22,False,False,3.81
INV-0013657,IR-BR-025,BR,HNB-0017,Health & Beauty,69,42,11,2024-05-28,False,False,8.56
INV-0000736,IR-UAE-007,UAE,GRO-0016,Groceries & Fresh Food,95,48,23,2024-06-16,False,False,14.25
INV-0011784,IR-BR-010,BR,ELE-0004,Electronics & Appliances,153,27,16,2024-03-09,False,False,137.7
INV-0009387,IR-PK-005,PK,ELE-0007,Electronics & Appliances,116,21,9,2024-02-12,False,False,974.4
